K_t
0.5271823
0.282855
0.22597457
0.20847279
0.20256841
0.20050366
0.19977234
0.19951215
0.19941941
0.19938636
0.19937456
0.19937035
0.19936886
0.19936833
0.19936813
0.19936804
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
0.19936803
