s_t
0.35617054
0.35603818
0.3561131
0.35621646
0.35625136
0.35626352
0.35626787
0.35626936
0.35626993
0.35627013
0.3562702
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
0.35627022
